projectname,packagename,classqualifiedname,classname,ori_package,tar_package,ori_CBO,ori_MPC_max,ori_MPC_ave,ori_MPC_sum,tar_CBO,tar_MPC_max,tar_MPC_ave,tar_MPC_sum
davmail-4.5.1,davmail,davmail.DavGateway,DavGateway,davmail,com.ctc.wstx.sr,3,10,4.8,24,0,0,0,0
davmail-4.5.1,davmail,davmail.DavGateway,DavGateway,davmail,davmail.caldav,3,10,4.8,24,1,0,0,0
davmail-4.5.1,davmail,davmail.DavGateway,DavGateway,davmail,davmail.exception,3,10,4.8,24,1,1,0.111111111,1
davmail-4.5.1,davmail,davmail.DavGateway,DavGateway,davmail,davmail.exchange,3,10,4.8,24,1,2,0.125,2
davmail-4.5.1,davmail,davmail.DavGateway,DavGateway,davmail,davmail.exchange.dav,3,10,4.8,24,0,0,0,0
davmail-4.5.1,davmail,davmail.DavGateway,DavGateway,davmail,davmail.exchange.ews,3,10,4.8,24,0,0,0,0
davmail-4.5.1,davmail,davmail.DavGateway,DavGateway,davmail,davmail.http,3,10,4.8,24,2,3,0.333333333,4
davmail-4.5.1,davmail,davmail.DavGateway,DavGateway,davmail,davmail.imap,3,10,4.8,24,1,0,0,0
davmail-4.5.1,davmail,davmail.DavGateway,DavGateway,davmail,davmail.ldap,3,10,4.8,24,0,0,0,0
davmail-4.5.1,davmail,davmail.DavGateway,DavGateway,davmail,davmail.pop,3,10,4.8,24,1,0,0,0
davmail-4.5.1,davmail,davmail.DavGateway,DavGateway,davmail,davmail.service,3,10,4.8,24,1,0,0,0
davmail-4.5.1,davmail,davmail.DavGateway,DavGateway,davmail,davmail.smtp,3,10,4.8,24,1,0,0,0
davmail-4.5.1,davmail,davmail.DavGateway,DavGateway,davmail,davmail.ui,3,10,4.8,24,2,0,0,0
davmail-4.5.1,davmail,davmail.DavGateway,DavGateway,davmail,davmail.ui.browser,3,10,4.8,24,0,0,0,0
davmail-4.5.1,davmail,davmail.DavGateway,DavGateway,davmail,davmail.ui.tray,3,10,4.8,24,6,11,1.571428571,11
davmail-4.5.1,davmail,davmail.DavGateway,DavGateway,davmail,davmail.util,3,10,4.8,24,0,0,0,0
davmail-4.5.1,davmail,davmail.DavGateway,DavGateway,davmail,davmail.web,3,10,4.8,24,1,0,0,0
davmail-4.5.1,davmail,davmail.Settings,Settings,davmail,com.ctc.wstx.sr,3,27,5.4,27,0,0,0,0
davmail-4.5.1,davmail,davmail.Settings,Settings,davmail,davmail.caldav,3,27,5.4,27,2,0,0,0
davmail-4.5.1,davmail,davmail.Settings,Settings,davmail,davmail.exception,3,27,5.4,27,0,0,0,0
davmail-4.5.1,davmail,davmail.Settings,Settings,davmail,davmail.exchange,3,27,5.4,27,6,0,0,0
davmail-4.5.1,davmail,davmail.Settings,Settings,davmail,davmail.exchange.dav,3,27,5.4,27,2,0,0,0
davmail-4.5.1,davmail,davmail.Settings,Settings,davmail,davmail.exchange.ews,3,27,5.4,27,2,0,0,0
davmail-4.5.1,davmail,davmail.Settings,Settings,davmail,davmail.http,3,27,5.4,27,4,0,0,0
davmail-4.5.1,davmail,davmail.Settings,Settings,davmail,davmail.imap,3,27,5.4,27,2,0,0,0
davmail-4.5.1,davmail,davmail.Settings,Settings,davmail,davmail.ldap,3,27,5.4,27,2,0,0,0
davmail-4.5.1,davmail,davmail.Settings,Settings,davmail,davmail.pop,3,27,5.4,27,2,0,0,0
davmail-4.5.1,davmail,davmail.Settings,Settings,davmail,davmail.service,3,27,5.4,27,1,0,0,0
davmail-4.5.1,davmail,davmail.Settings,Settings,davmail,davmail.smtp,3,27,5.4,27,1,0,0,0
davmail-4.5.1,davmail,davmail.Settings,Settings,davmail,davmail.ui,3,27,5.4,27,1,0,0,0
davmail-4.5.1,davmail,davmail.Settings,Settings,davmail,davmail.ui.browser,3,27,5.4,27,0,0,0,0
davmail-4.5.1,davmail,davmail.Settings,Settings,davmail,davmail.ui.tray,3,27,5.4,27,4,7,1,7
davmail-4.5.1,davmail,davmail.Settings,Settings,davmail,davmail.util,3,27,5.4,27,0,0,0,0
davmail-4.5.1,davmail,davmail.Settings,Settings,davmail,davmail.web,3,27,5.4,27,1,0,0,0
davmail-4.5.1,davmail,davmail.AbstractServer,AbstractServer,davmail,com.ctc.wstx.sr,4,7,2.4,12,0,0,0,0
davmail-4.5.1,davmail,davmail.AbstractServer,AbstractServer,davmail,davmail.caldav,4,7,2.4,12,0,0,0,0
davmail-4.5.1,davmail,davmail.AbstractServer,AbstractServer,davmail,davmail.exception,4,7,2.4,12,0,0,0,0
davmail-4.5.1,davmail,davmail.AbstractServer,AbstractServer,davmail,davmail.exchange,4,7,2.4,12,0,0,0,0
davmail-4.5.1,davmail,davmail.AbstractServer,AbstractServer,davmail,davmail.exchange.dav,4,7,2.4,12,0,0,0,0
davmail-4.5.1,davmail,davmail.AbstractServer,AbstractServer,davmail,davmail.exchange.ews,4,7,2.4,12,0,0,0,0
davmail-4.5.1,davmail,davmail.AbstractServer,AbstractServer,davmail,davmail.http,4,7,2.4,12,0,0,0,0
davmail-4.5.1,davmail,davmail.AbstractServer,AbstractServer,davmail,davmail.imap,4,7,2.4,12,0,0,0,0
davmail-4.5.1,davmail,davmail.AbstractServer,AbstractServer,davmail,davmail.ldap,4,7,2.4,12,0,0,0,0
davmail-4.5.1,davmail,davmail.AbstractServer,AbstractServer,davmail,davmail.pop,4,7,2.4,12,0,0,0,0
davmail-4.5.1,davmail,davmail.AbstractServer,AbstractServer,davmail,davmail.service,4,7,2.4,12,0,0,0,0
davmail-4.5.1,davmail,davmail.AbstractServer,AbstractServer,davmail,davmail.smtp,4,7,2.4,12,0,0,0,0
davmail-4.5.1,davmail,davmail.AbstractServer,AbstractServer,davmail,davmail.ui,4,7,2.4,12,0,0,0,0
davmail-4.5.1,davmail,davmail.AbstractServer,AbstractServer,davmail,davmail.ui.browser,4,7,2.4,12,0,0,0,0
davmail-4.5.1,davmail,davmail.AbstractServer,AbstractServer,davmail,davmail.ui.tray,4,7,2.4,12,1,6,0.857142857,6
davmail-4.5.1,davmail,davmail.AbstractServer,AbstractServer,davmail,davmail.util,4,7,2.4,12,0,0,0,0
davmail-4.5.1,davmail,davmail.AbstractServer,AbstractServer,davmail,davmail.web,4,7,2.4,12,0,0,0,0
davmail-4.5.1,davmail,davmail.AbstractConnection,AbstractConnection,davmail,com.ctc.wstx.sr,2,3,0.6,3,0,0,0,0
davmail-4.5.1,davmail,davmail.AbstractConnection,AbstractConnection,davmail,davmail.caldav,2,3,0.6,3,2,0,0,0
davmail-4.5.1,davmail,davmail.AbstractConnection,AbstractConnection,davmail,davmail.exception,2,3,0.6,3,0,0,0,0
davmail-4.5.1,davmail,davmail.AbstractConnection,AbstractConnection,davmail,davmail.exchange,2,3,0.6,3,1,0,0,0
davmail-4.5.1,davmail,davmail.AbstractConnection,AbstractConnection,davmail,davmail.exchange.dav,2,3,0.6,3,0,0,0,0
davmail-4.5.1,davmail,davmail.AbstractConnection,AbstractConnection,davmail,davmail.exchange.ews,2,3,0.6,3,0,0,0,0
davmail-4.5.1,davmail,davmail.AbstractConnection,AbstractConnection,davmail,davmail.http,2,3,0.6,3,0,0,0,0
davmail-4.5.1,davmail,davmail.AbstractConnection,AbstractConnection,davmail,davmail.imap,2,3,0.6,3,2,0,0,0
davmail-4.5.1,davmail,davmail.AbstractConnection,AbstractConnection,davmail,davmail.ldap,2,3,0.6,3,2,0,0,0
davmail-4.5.1,davmail,davmail.AbstractConnection,AbstractConnection,davmail,davmail.pop,2,3,0.6,3,2,0,0,0
davmail-4.5.1,davmail,davmail.AbstractConnection,AbstractConnection,davmail,davmail.service,2,3,0.6,3,0,0,0,0
davmail-4.5.1,davmail,davmail.AbstractConnection,AbstractConnection,davmail,davmail.smtp,2,3,0.6,3,2,0,0,0
davmail-4.5.1,davmail,davmail.AbstractConnection,AbstractConnection,davmail,davmail.ui,2,3,0.6,3,0,0,0,0
davmail-4.5.1,davmail,davmail.AbstractConnection,AbstractConnection,davmail,davmail.ui.browser,2,3,0.6,3,0,0,0,0
davmail-4.5.1,davmail,davmail.AbstractConnection,AbstractConnection,davmail,davmail.ui.tray,2,3,0.6,3,1,14,2,14
davmail-4.5.1,davmail,davmail.AbstractConnection,AbstractConnection,davmail,davmail.util,2,3,0.6,3,0,0,0,0
davmail-4.5.1,davmail,davmail.AbstractConnection,AbstractConnection,davmail,davmail.web,2,3,0.6,3,0,0,0,0
davmail-4.5.1,davmail,davmail.BundleMessage,BundleMessage,davmail,com.ctc.wstx.sr,1,12,2.4,12,0,0,0,0
davmail-4.5.1,davmail,davmail.BundleMessage,BundleMessage,davmail,davmail.caldav,1,12,2.4,12,1,0,0,0
davmail-4.5.1,davmail,davmail.BundleMessage,BundleMessage,davmail,davmail.exception,1,12,2.4,12,1,2,0.222222222,2
davmail-4.5.1,davmail,davmail.BundleMessage,BundleMessage,davmail,davmail.exchange,1,12,2.4,12,2,0,0,0
davmail-4.5.1,davmail,davmail.BundleMessage,BundleMessage,davmail,davmail.exchange.dav,1,12,2.4,12,1,0,0,0
davmail-4.5.1,davmail,davmail.BundleMessage,BundleMessage,davmail,davmail.exchange.ews,1,12,2.4,12,0,0,0,0
davmail-4.5.1,davmail,davmail.BundleMessage,BundleMessage,davmail,davmail.http,1,12,2.4,12,2,0,0,0
davmail-4.5.1,davmail,davmail.BundleMessage,BundleMessage,davmail,davmail.imap,1,12,2.4,12,1,0,0,0
davmail-4.5.1,davmail,davmail.BundleMessage,BundleMessage,davmail,davmail.ldap,1,12,2.4,12,1,0,0,0
davmail-4.5.1,davmail,davmail.BundleMessage,BundleMessage,davmail,davmail.pop,1,12,2.4,12,1,0,0,0
davmail-4.5.1,davmail,davmail.BundleMessage,BundleMessage,davmail,davmail.service,1,12,2.4,12,0,0,0,0
davmail-4.5.1,davmail,davmail.BundleMessage,BundleMessage,davmail,davmail.smtp,1,12,2.4,12,0,0,0,0
davmail-4.5.1,davmail,davmail.BundleMessage,BundleMessage,davmail,davmail.ui,1,12,2.4,12,7,0,0,0
davmail-4.5.1,davmail,davmail.BundleMessage,BundleMessage,davmail,davmail.ui.browser,1,12,2.4,12,0,0,0,0
davmail-4.5.1,davmail,davmail.BundleMessage,BundleMessage,davmail,davmail.ui.tray,1,12,2.4,12,6,0,0,0
davmail-4.5.1,davmail,davmail.BundleMessage,BundleMessage,davmail,davmail.util,1,12,2.4,12,0,0,0,0
davmail-4.5.1,davmail,davmail.BundleMessage,BundleMessage,davmail,davmail.web,1,12,2.4,12,0,0,0,0
davmail-4.5.1,davmail.caldav,davmail.caldav.CaldavConnection,CaldavConnection,davmail.caldav,com.ctc.wstx.sr,1,94,47,94,0,0,0,0
davmail-4.5.1,davmail.caldav,davmail.caldav.CaldavConnection,CaldavConnection,davmail.caldav,davmail,1,94,47,94,4,21,5.2,26
davmail-4.5.1,davmail.caldav,davmail.caldav.CaldavConnection,CaldavConnection,davmail.caldav,davmail.exception,1,94,47,94,0,0,0,0
davmail-4.5.1,davmail.caldav,davmail.caldav.CaldavConnection,CaldavConnection,davmail.caldav,davmail.exchange,1,94,47,94,4,40,3,48
davmail-4.5.1,davmail.caldav,davmail.caldav.CaldavConnection,CaldavConnection,davmail.caldav,davmail.exchange.dav,1,94,47,94,0,0,0,0
davmail-4.5.1,davmail.caldav,davmail.caldav.CaldavConnection,CaldavConnection,davmail.caldav,davmail.exchange.ews,1,94,47,94,0,0,0,0
davmail-4.5.1,davmail.caldav,davmail.caldav.CaldavConnection,CaldavConnection,davmail.caldav,davmail.http,1,94,47,94,0,0,0,0
davmail-4.5.1,davmail.caldav,davmail.caldav.CaldavConnection,CaldavConnection,davmail.caldav,davmail.imap,1,94,47,94,0,0,0,0
davmail-4.5.1,davmail.caldav,davmail.caldav.CaldavConnection,CaldavConnection,davmail.caldav,davmail.ldap,1,94,47,94,0,0,0,0
davmail-4.5.1,davmail.caldav,davmail.caldav.CaldavConnection,CaldavConnection,davmail.caldav,davmail.pop,1,94,47,94,0,0,0,0
